Title	TitleShort	ISSN	EISSN	Parent	Format	Field	Locale
Applied Magnetic Resonance	Appl Magn Reson	0937-9347	1613-7507	springer-physics-brackets	numeric	physics	en-US
Amino Acids	Amino Acids	0939-4451	1438-2199	springer-basic-author-date	author-date	science	en-US
Psychotherapie Forum (German)		0943-1950	1613-7604	springer-socpsych-author-date	author-date		de-DE
Archives of Women's Mental Health	Arch Womens Ment Health	1434-1816	1435-1102	springer-basic-author-date	author-date	science	en-US
psychopraxis. neuropraxis (German)		2197-9707	2197-9715	springer-basic-brackets	numeric		de-DE
Wiener klinisches Magazin (German)		1869-1757	1613-7817	springer-basic-brackets	numeric		de-DE
Requirements Engineering	Requirements Eng	0947-3602	1432-010X	springer-basic-brackets	numeric	science	en-US
Grundwasser (German)	Grundwasser	1430-483X	1432-1165	springer-mathphys-author-date	author-date	science	de-DE
Accreditation and Quality Assurance	Accred Qual Assur	0949-1775	1432-0517	springer-basic-brackets	numeric	science	en-US
Gefässchirurgie (German)		0948-7034	1434-3932	springer-basic-brackets	numeric		de-DE
Journal of Marine Science and Technology	J Mar Sci Technol	0948-4280	1437-8213	springer-basic-brackets	numeric	science	en-US
Journal of Bone and Mineral Metabolism	J Bone Miner Metab	0914-8779	1435-5604	springer-basic-brackets	numeric	science	en-US
JBIC Journal of Biological Inorganic Chemistry	J Biol Inorg Chem	0949-8257	1432-1327	springer-basic-brackets	numeric	science	en-US
Journal of Orthopaedic Science	J Orthop Sci	0949-2658	1436-2023	springer-vancouver-brackets	numeric	medicine	en-US
The VLDB Journal	The VLDB Journal	1066-8888	0949-877X	springer-mathphys-brackets	numeric	science	en-US
Personal and Ubiquitous Computing	Pers Ubiquit Comput	1617-4909	1617-4917	springer-basic-brackets	numeric	science	en-US
Finance and Stochastics	Finance Stoch	0949-2984	1432-1122	springer-mathphys-brackets	numeric	science	en-US
Clinical Oral Investigations	Clin Oral Invest	1432-6981	1436-3771	springer-basic-brackets	numeric	science	en-US
European Child & Adolescent Psychiatry	Eur Child Adolesc Psychiatry	1018-8827	1435-165X	springer-basic-brackets	numeric	science	en-US
Computing and Visualization in Science	Comput. Visual Sci.	1432-9360	1433-0369	springer-mathphys-brackets	numeric	science	en-US
Extremophiles	Extremophiles	1431-0651	1433-4909	springer-basic-author-date	author-date	science	en-US
Medical Molecular Morphology	Med Mol Morphol	1860-1480	1860-1499	springer-basic-brackets	numeric	science	en-US
International Journal on Digital Libraries	Int J Digit Libr	1432-5012	1432-1300	springer-mathphys-brackets	numeric	science	en-US
Journal of Molecular Modeling	J Mol Model	1610-2940	0948-5023	springer-basic-brackets	numeric	science	en-US
Oral and Maxillofacial Surgery	Oral Maxillofac Surg	1865-1550	1865-1569	springer-basic-brackets	numeric	science	en-US
Journal of Solid State Electrochemistry	J Solid State Electrochem	1432-8488	1433-0768	springer-basic-brackets	numeric	science	en-US
International Journal on Software Tools for Technology Transfer	Int J Softw Tools Technol Transfer	1433-2779	1433-2787	springer-mathphys-brackets	numeric	science	en-US
Forschung im Ingenieurwesen (German)	Forsch Ingenieurwes	0015-7899	1434-0860	springer-basic-brackets	numeric	science	de-DE
Vietnam Journal of Mathematics		2305-221X	2305-2228	springer-mathphys-brackets	numeric		en-US
Brain Tumor Pathology	Brain Tumor Pathol	1433-7398	1861-387X	springer-basic-brackets	numeric	science	en-US
Artificial Life and Robotics	Artif Life Robotics	1433-5298	1614-7456	springer-basic-brackets	numeric	science	en-US
Environmental Economics and Policy Studies	Environ Econ Policy Stud	1432-847X	1867-383X	springer-basic-author-date	author-date	science	en-US
Hernia	Hernia	1265-4906	1248-9204	springer-basic-brackets	numeric	science	en-US
International Journal on Document Analysis and Recognition (IJDAR)	IJDAR	1433-2833	1433-2825	springer-mathphys-brackets	numeric	science	en-US
Granular Matter	Granular Matter	1434-5021	1434-7636	springer-mathphys-brackets	numeric	science	en-US
Review of Regional Research	Jahrb Reg wiss	0173-7600	1613-9836	springer-basic-author-date	author-date	science	en-US
Trauma und Berufskrankheit (German)		1436-6274	1436-6282	springer-basic-brackets	numeric		de-DE
Hydrogeology Journal	Hydrogeol J	1431-2174	1435-0157	springer-basic-author-date	author-date	science	en-US
Optical Review		1340-6000	1349-9432	springer-physics-brackets	numeric		en-US
Pattern Analysis and Applications	Pattern Anal Applic	1433-7541	1433-755X	springer-basic-brackets	numeric	science	en-US
Journal of Artificial Organs	J Artif Organs	1434-7229	1619-0904	springer-vancouver-brackets	numeric	medicine	en-US
neurogenetics	Neurogenetics	1364-6745	1364-6753	springer-basic-brackets	numeric	science	en-US
The European Physical Journal C	Eur. Phys. J. C	1434-6044	1434-6052	springer-physics-brackets	numeric	physics	en-US
Virtual Reality	Virtual Reality	1359-4338	1434-9957	springer-basic-author-date	author-date	science	en-US
Review of Economic Design	Rev Econ Design	1434-4742	1434-4750	springer-basic-author-date	author-date	science	en-US
Bulletin of Engineering Geology and the Environment	Bull Eng Geol Environ	1435-9529	1435-9537	springer-basic-author-date	author-date	science	en-US
Clinical Rheumatology	Clin Rheumatol	0770-3198	1434-9949	springer-basic-brackets	numeric	science	en-US
Animal Cognition	Anim Cogn	1435-9448	1435-9456	springer-basic-author-date	author-date	science	en-US
Neurological Sciences	Neurol Sci	1590-1874	1590-3478	springer-basic-brackets	numeric	science	en-US
Journal of Wood Science	J Wood Sci	1435-0211	1611-4663	springer-basic-brackets	numeric	science	en-US
Calcolo	Calcolo	0008-0624	1126-5434	springer-mathphys-brackets	numeric	science	en-US
European Journal of Clinical Microbiology & Infectious Diseases	Eur J Clin Microbiol Infect Dis	0934-9723	1435-4373	springer-basic-brackets	numeric	science	en-US
Clean Technologies and Environmental Policy	Clean Techn Environ Policy	1618-954X	1618-9558	springer-basic-author-date	author-date	science	en-US
Central European Journal of Operations Research	Cent Eur J Oper Res	1435-246X	1613-9178	springer-basic-author-date	author-date	science	en-US
Economics of Governance	Econ Gov	1435-6104	1435-8131	springer-basic-author-date	author-date	science	en-US
Lasers in Medical Science	Lasers Med Sci	0268-8921	1435-604X	springer-basic-brackets	numeric	science	en-US
Mathematical Programming	Math. Program.	0025-5610	1436-4646	springer-mathphys-brackets	numeric	science	en-US
Journal of Geographical Systems	J Geogr Syst	1435-5930	1435-5949	springer-basic-author-date	author-date	science	en-US
Cognition, Technology & Work	Cogn Tech Work	1435-5558	1435-5566	springer-basic-author-date	author-date	science	en-US
Regional Environmental Change	Reg Environ Change	1436-3798	1436-378X	springer-basic-author-date	author-date	science	en-US
Knowledge and Information Systems	Knowl Inf Syst	0219-1377	0219-3116	springer-basic-brackets	numeric	science	en-US
Gastric Cancer	Gastric Cancer	1436-3291	1436-3305	springer-vancouver-brackets	numeric	medicine	en-US
Marine Biotechnology	Mar Biotechnol	1436-2228	1436-2236	springer-basic-author-date	author-date	science	en-US
Emergency Radiology	Emerg Radiol	1070-3004	1438-1435	springer-basic-brackets	numeric	science	en-US
Functional & Integrative Genomics	Funct Integr Genomics	1438-793X	1438-7948	springer-basic-author-date	author-date	science	en-US
Neurosurgical Review	Neurosurg Rev	0344-5607	1437-2320	springer-basic-brackets	numeric	science	en-US
Population Ecology	Popul Ecol	1438-3896	1438-390X	springer-basic-author-date	author-date	science	en-US
International Journal of Clinical Oncology	Int J Clin Oncol	1341-9625	1437-7772	springer-basic-brackets	numeric	science	en-US
Techniques in Coloproctology	Tech Coloproctol	1123-6337	1128-045X	springer-basic-brackets	numeric	science	en-US
Helgoland Marine Research	Helgol Mar Res	1438-387X	1438-3888	springer-basic-author-date	author-date	science	en-US
Clinical and Experimental Nephrology	Clin Exp Nephrol	1342-1751	1437-7799	springer-vancouver-brackets	numeric	medicine	en-US
Invertebrate Neuroscience	Invert Neurosci	1354-2516	1439-1104	springer-basic-author-date	author-date	science	en-US
Journal of the Association for Research in Otolaryngology	JARO	1525-3961	1438-7573	springer-basic-author-date	author-date	science	en-US
Journal of Material Cycles and Waste Management	J Mater Cycles Waste Manag	1438-4957	1611-8227	springer-basic-brackets	numeric	science	en-US
Journal of Ethology	J Ethol	0289-0771	1439-5444	springer-basic-author-date	author-date	science	en-US
AStA Advances in Statistical Analysis	AStA Adv Stat Anal	1863-8171	1863-818X	springer-mathphys-author-date	author-date	science	en-US
The Journal of Headache and Pain		1129-2369	1129-2377	springer-basic-brackets	numeric		en-US
Journal of Orthopaedics and Traumatology	J Orthopaed Traumatol	1590-9921	1590-9999	springer-basic-brackets	numeric	science	en-US
The European Journal of Health Economics	Eur J Health Econ	1618-7598	1618-7601	springer-mathphys-brackets	numeric	science	en-US
Limnology	Limnology	1439-8621	1439-863X	springer-basic-author-date	author-date	science	en-US
Decisions in Economics and Finance	Decisions Econ Finan	1593-8883	1129-6569	springer-mathphys-author-date	author-date	science	en-US
International Journal of Information Security	Int. J. Inf. Secur.	1615-5262	1615-5270	springer-mathphys-brackets	numeric	science	en-US
Universal Access in the Information Society	Univ Access Inf Soc	1615-5289	1615-5297	springer-mathphys-brackets	numeric	science	en-US
acta ethologica	acta ethol	0873-9749	1437-9546	springer-basic-author-date	author-date	science	en-US
European Journal of Psychology of Education	Eur J Psychol Educ	0256-2928	1878-5174	springer-socpsych-author-date	author-date	psychology	en-US
Mine Water and the Environment	Mine Water Environ	1025-9112	1616-1068	springer-basic-author-date	author-date	science	en-US
Annali di Matematica Pura ed Applicata (1923 -)	Annali di Matematica	0373-3114	1618-1891	springer-mathphys-brackets	numeric	science	en-US
Ocean Dynamics	Ocean Dynamics	1616-7341	1616-7228	springer-basic-author-date	author-date	science	en-US
Biomechanics and Modeling in Mechanobiology	Biomech Model Mechanobiol	1617-7959	1617-7940	springer-basic-author-date	author-date	science	en-US
Clinical and Experimental Medicine	Clin Exp Med	1591-8890	1591-9528	springer-vancouver-brackets	numeric	science	en-US
Information Systems and e-Business Management	Inf Syst E-Bus Manage	1617-9846	1617-9854	springer-basic-author-date	author-date	science	en-US
Portuguese Economic Journal	Port Econ J	1617-982X	1617-9838	springer-basic-author-date	author-date	science	en-US
Statistical Methods & Applications	Stat Methods Appl	1618-2510	1613-981X	springer-basic-author-date	author-date	science	en-US
Journal of Plant Research	J Plant Res	0918-9440	1618-0860	springer-basic-author-date	author-date	science	en-US
Odontology	Odontology	1618-1247	1618-1255	springer-vancouver-brackets	numeric	medicine	en-US
Software & Systems Modeling	Softw Syst Model	1619-1366	1619-1374	springer-mathphys-brackets	numeric	science	en-US
Clinical Autonomic Research	Clin Auton Res	0959-9851	1619-1560	springer-basic-brackets	numeric	science	en-US
Computational Management Science	Comput Manag Sci	1619-697X	1619-6988	springer-basic-author-date	author-date	science	en-US
4OR	4OR-Q J Oper Res	1619-4500	1614-2411	springer-basic-author-date	author-date	science	en-US
Review of World Economics	Rev World Econ	1610-2878	1610-2886	springer-socpsych-author-date	author-date	psychology	en-US
GPS Solutions	GPS Solut	1080-5370	1521-1886	springer-basic-author-date	author-date	science	en-US
Journal of Industrial Microbiology & Biotechnology	J Ind Microbiol Biotechnol	1367-5435	1476-5535	springer-basic-brackets	numeric	science	en-US
Asia Europe Journal	Asia Eur J	1610-2932	1612-1031	springer-basic-author-date	author-date	science	en-US
Journal of Forest Research	J For Res	1341-6979	1610-7403	springer-basic-author-date	author-date	science	en-US
Environmental Chemistry Letters	Environ Chem Lett	1610-3653	1610-3661	springer-basic-author-date	author-date	science	en-US
Journal of General Plant Pathology	J Gen Plant Pathol	1345-2630	1610-739X	springer-basic-author-date	author-date	science	en-US
Primates	Primates	0032-8332	1610-7365	springer-basic-author-date	author-date	science	en-US
Paddy and Water Environment	Paddy Water Environ	1611-2490	1611-2504	springer-basic-author-date	author-date	science	en-US
Magnetic Resonance Materials in Physics, Biology and Medicine	Magn Reson Mater Phy	0968-5243	1352-8661	springer-basic-brackets	numeric	science	en-US
Journal of Ornithology	J Ornithol	2193-7192	2193-7206	springer-basic-author-date	author-date	science	en-US
Chromatographia	Chromatographia	0009-5893	1612-1112	springer-basic-brackets	numeric	science	en-US
Cognitive Processing	Cogn Process	1612-4782	1612-4790	springer-basic-author-date	author-date	science	en-US
Journal of Pest Science	J Pest Sci	1612-4758	1612-4766	springer-basic-author-date	author-date	science	en-US
Erwerbs-Obstbau (German)	Erwerbs-Obstbau	0014-0309	1439-0302	springer-basic-author-date	author-date	science	de-DE
European Journal of Forest Research	Eur J Forest Res	1612-4669	1612-4677	springer-basic-author-date	author-date	science	en-US
Gesunde Pflanzen (German)	Gesunde Pflanzen	0367-4223	1439-0345	springer-basic-author-date	author-date	science	de-DE
European Journal of Wildlife Research	Eur J Wildl Res	1612-4642	1439-0574	springer-basic-author-date	author-date	science	en-US
Landslides	Landslides	1612-510X	1612-5118	springer-basic-author-date	author-date	science	en-US
Facies	Facies	0172-9179	1612-4820	springer-basic-author-date	author-date	science	en-US
European Surgery	Eur Surg	1682-8631	1682-4016	springer-vancouver-brackets	numeric	medicine	en-US
Wiener Medizinische Wochenschrift (German)	Wien Med Wochenschr	0043-5341	1563-258X	springer-vancouver-brackets	numeric	medicine	de-DE
International Economics and Economic Policy	Int Econ Econ Policy	1612-4804	1612-4812	springer-basic-author-date	author-date	science	en-US
Japanese Journal of Ophthalmology	Jpn J Ophthalmol	0021-5155	1613-2246	springer-vancouver-brackets	numeric	medicine	en-US
Esophagus	Esophagus	1612-9059	1612-9067	springer-vancouver-brackets	numeric	medicine	en-US
Journal of Public Health	J Public Health	2198-1833	1613-2238	springer-basic-author-date	author-date	science	en-US
Journal of Medical Ultrasonics	J Med Ultrasonics	1346-4523	1613-2254	springer-vancouver-brackets	numeric	medicine	en-US
Gynecological Surgery	Gynecol Surg	1613-2076	1613-2084	springer-basic-brackets	numeric	science	en-US
Microfluidics and Nanofluidics	Microfluid Nanofluid	1613-4982	1613-4990	springer-basic-author-date	author-date	science	en-US
European Journal of Ageing	Eur J Ageing	1613-9372	1613-9380	springer-basic-author-date	author-date	science	en-US
Annals of Finance	Ann Finance	1614-2446	1614-2454	springer-mathphys-author-date	author-date	science	en-US
African Archaeological Review	Afr Archaeol Rev	0263-0338	1572-9842	springer-socpsych-author-date	author-date	psychology	en-US
Acta Applicandae Mathematicae	Acta Appl Math	0167-8019	1572-9036	springer-mathphys-brackets	numeric	science	en-US
Acta Biotheoretica	Acta Biotheor	0001-5342	1572-8358	springer-basic-author-date	author-date	science	en-US
Applied Composite Materials	Appl Compos Mater	0929-189X	1573-4897	springer-mathphys-brackets	numeric	science	en-US
Advances in Computational Mathematics	Adv Comput Math	1019-7168	1572-9044	springer-mathphys-brackets	numeric	science	en-US
International Journal for the Advancement of Counselling	Int J Adv Counselling	0165-0653	1573-3246	springer-socpsych-author-date	author-date	psychology	en-US
Adsorption	Adsorption	0929-5607	1572-8757	springer-mathphys-author-date	author-date	science	en-US
Aquatic Ecology	Aquat Ecol	1386-2588	1573-5125	springer-basic-author-date	author-date	science	en-US
Aerobiologia	Aerobiologia	0393-5965	1573-3025	springer-socpsych-author-date	author-date	psychology	en-US
